SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,FACILITY_TYPE,GRADE,TOTAL_ENROLMENT,INDIGENOUS_ENROLMENT,ELL_ENROLMENT,FRENCH_IMMERSION_ENROLMENT,DISABILITIES_OR_DIVERSE_ABILITIES_ENROLMENT,RESIDENT_ENROLMENT,ADULT_ENROLMENT,TOTAL_FTE,INDIGENOUS_FTE,ELL_FTE,FRENCH_IMMERSION_FTE,DISABILITIES_OR_DIVERSE_ABILITIES_FTE,RESIDENT_FTE,ADULT_FTE
2020/2021,District Level,Public School,5.0,Southeast Kootenay,,,All Facility Types,All Grades,5650,1305,69,585,757,5631,43,5559.6875,1303.9375,69.6875,588.6875,763.8125,5553.375,5.125
2020/2021,District Level,Public School,6.0,Rocky Mountain,,,All Facility Types,All Grades,3343,863,37,170,339,3326,Msk,3315.375,857.4375,37,169,337.5,3304.1875,Msk
2020/2021,District Level,Public School,8.0,Kootenay Lake,,,All Facility Types,All Grades,5053,1156,68,281,457,4993,114,4719.9375,1108.375,68.25,276.875,453.5,4692.9375,9
2020/2021,District Level,Public School,10.0,Arrow Lakes,,,All Facility Types,All Grades,504,137,Msk,,79,504,Msk,515.1572,138.9376,Msk,,82.0001,515.1572,Msk
2020/2021,District Level,Public School,19.0,Revelstoke,,,All Facility Types,All Grades,1015,133,48,,200,1013,,1024.4375,134,48.5,,203.0625,1022.3125,
2020/2021,District Level,Public School,20.0,Kootenay-Columbia,,,All Facility Types,All Grades,3896,780,47,400,451,3896,,3880.75,770.5,47.375,404.75,436.5625,3880.75,
2020/2021,District Level,Public School,22.0,Vernon,,,All Facility Types,All Grades,8705,1565,150,1150,889,8661,20,8530.4375,1533.1875,150.25,1163.75,889.125,8489.875,3.375
2020/2021,District Level,Public School,23.0,Central Okanagan,,,All Facility Types,All Grades,23448,3647,864,2720,2963,23126,56,23454.625,3642.25,868.5,2773.0625,2960.75,23156.625,18
2020/2021,District Level,Public School,27.0,Cariboo-Chilcotin,,,All Facility Types,All Grades,4470,1508,222,372,376,4469,Msk,4413.9375,1484.1875,221,372.75,370.125,4412.9375,Msk
2020/2021,District Level,Public School,28.0,Quesnel,,,All Facility Types,All Grades,2987,1001,72,197,367,2987,Msk,2927.0,987.75,72,198.875,364.25,2927,Msk
