Year,District #,School District,Operating Grant Block ($),Classroom Enhancement Fund ($),Learning Improvement Fund ($),Student Transportation Fund ($),Feeding Futures Fund ($),CommunityLINK ($),Annual Facility Grant ($),Pay Equity ($),Labour Settlement ($),Student & Family Affordability ($),Total District Funding ($)
2022/23,5,Southeast Kootenay,70524250,3419517,245424,361459,,391066,287051,457171,2720391,693747.0,79100076
2023/24,5,Southeast Kootenay,78032036,9819935,293563,361459,808815.0,412537,287051,457171,1308275,151000.0,91931842
2024/25,5,Southeast Kootenay,79994685,10190535,279294,361459,771379.0,422724,287051,457171,835288,,93599586
2025/26,5,Southeast Kootenay,81485620,10465886,288102,361459,770348.0,433216,287051,457171,1692934,,96241787
2022/23,6,Rocky Mountain,42794085,3532204,147079,369399,,411601,195843,207823,1794148,417507.0,49869689
2023/24,6,Rocky Mountain,45944168,3902210,171984,369399,475770.0,434293,195843,207823,748359,169000.0,52618849
2024/25,6,Rocky Mountain,48423646,4213613,166284,369399,459217.0,445058,195843,207823,457169,,54938052
2025/26,6,Rocky Mountain,49190299,5030362,172153,369399,461311.0,456147,195843,207823,936790,,57020127
2022/23,8,Kootenay Lake,56729924,8277675,195556,419602,,679508,279640,300996,2443720,553554.0,69880175
2023/24,8,Kootenay Lake,62061345,10658832,233351,419602,644263.0,733454,279640,300996,1018885,100000.0,76450368
2024/25,8,Kootenay Lake,63641050,9489861,223014,419602,615090.0,759048,279640,300996,690795,,76419096
2025/26,8,Kootenay Lake,63612330,10630033,224858,419602,597706.0,785410,279640,300996,1373444,,78224019
2022/23,10,Arrow Lakes,9938766,134008,33688,42675,,106223,62466,40560,384937,250000.0,10993323
2023/24,10,Arrow Lakes,10750489,256580,39845,42675,350000.0,106983,62466,40560,159525,100000.0,11909123
2024/25,10,Arrow Lakes,11381236,267431,38433,42675,350000.0,107344,62466,40560,92389,,12382534
2025/26,10,Arrow Lakes,11407817,283968,41522,42675,350000.0,107716,62466,40560,176796,,12513520
2022/23,19,Revelstoke,13091954,568538,44934,49847,,105498,65380,101498,520948,250000.0,14798597
2023/24,19,Revelstoke,14616262,615849,54596,49847,350000.0,114325,65380,101498,238896,100000.0,16306653
2024/25,19,Revelstoke,15542380,634052,56534,49847,350000.0,118513,65380,101498,164027,,17082231
2025/26,19,Revelstoke,15936952,665035,56574,49847,350000.0,122827,65380,101498,271139,,17619252
2022/23,20,Kootenay-Columbia,45036291,5417903,155797,242977,,719736,193904,248239,1892212,443114.0,54350173
2023/24,20,Kootenay-Columbia,50619550,6341607,184978,242977,513092.0,753206,193904,248239,832785,173000.0,60103338
2024/25,20,Kootenay-Columbia,52433710,6554796,183681,242977,509312.0,769086,193904,248239,546335,,61682040
2025/26,20,Kootenay-Columbia,53031733,6903125,187692,242977,505141.0,785442,193904,248239,1100104,,63198357
2022/23,22,Vernon,94156535,7199668,327549,361094,,647037,356577,85865,3815841,925658.0,107875824
2023/24,22,Vernon,104532796,8207918,391840,361094,1079115.0,648431,356577,85865,1784608,260000.0,117708244
2024/25,22,Vernon,110269741,8672744,386907,361094,1065466.0,649093,356577,85865,1178644,,123026131
2025/26,22,Vernon,112325366,8738213,395380,361094,1058137.0,649774,356577,85865,2266878,,126237284
2022/23,23,Central Okanagan,242352920,24043285,848215,600000,,1268697,785498,1238323,10217962,2396709.0,283751609
2023/24,23,Central Okanagan,274690568,29081107,1019317,600000,2808793.0,1287249,785498,1238323,4696489,826000.0,317033344
2024/25,23,Central Okanagan,287964816,35175914,1023909,600000,2828440.0,1296051,785498,1238323,3194397,,334107348
2025/26,23,Central Okanagan,293419751,39446096,1046061,600000,2806448.0,1305116,785498,1238323,6567343,,347214636
2022/23,27,Cariboo-Chilcotin,55674649,4019974,193054,739024,,698044,311807,665837,2243431,547562.0,65093382
2023/24,27,Cariboo-Chilcotin,60150687,4377066,230585,739024,637232.0,724660,311807,665837,1010425,100000.0,68947323
2024/25,27,Cariboo-Chilcotin,62520882,4808019,221150,739024,609911.0,737288,311807,665837,619736,,71233654
2025/26,27,Cariboo-Chilcotin,62139234,5112459,222904,739024,596893.0,750295,311807,665837,1155434,,71693887
2022/23,28,Quesnel,36644316,2116918,126106,274209,,517488,179130,379632,1481817,357657.0,42077273
